family,label,task,nmse,latency_ms,macs_g,params_m
raw_size,tiny,temporal,0.3157000163048506,2.270198807120323,0.025952256,0.366784
raw_size,tiny,fre,0.3434937118291855,2.2780896008014677,0.025952256,0.366784
raw_size,little,temporal,0.27015671638399363,2.390759992599487,0.089653248,1.396992
raw_size,little,fre,0.2596076050400734,2.3988708049058913,0.089653248,1.396992
raw_size,small,temporal,0.24454741708934308,2.7116479963064193,0.33030144,5.448064
raw_size,small,fre,0.23938096778094767,2.717088395357132,0.33030144,5.448064
raw_size,base,temporal,0.23744161904230715,3.694342800974846,1.264582656,21.512832
raw_size,base,fre,0.23179198292270303,3.692846006155014,1.264582656,21.512832
raw_size,large,temporal,0.33964855368435387,7.927446007728577,5.549064192,85.978496
raw_size,large,fre,0.352218656077981,7.963054430484772,5.549064192,85.978496
