family,label,task,width_multiplier,depth_multiplier,nmse,latency_ms,macs_g,params_m
strujepa_subnet,w1_d1,temporal,1.0,1.0,0.21670941780507566,3.6116216123104095,1.264582656,21.512832
strujepa_subnet,w1_d1,fre,1.0,1.0,0.21880967937782406,3.617179203033447,1.264582656,21.512832
strujepa_subnet,w0.5_d1,temporal,0.5,1.0,0.22503009201586247,3.6196899980306627,0.632291328,21.512832
strujepa_subnet,w0.5_d1,fre,0.5,1.0,0.2284494888409972,3.623119205236435,0.632291328,21.512832
strujepa_subnet,w0.125_d1,temporal,0.125,1.0,0.23534489605575798,3.6308267921209336,0.158072832,21.512832
strujepa_subnet,w0.125_d1,fre,0.125,1.0,0.23743283135443927,3.6279235929250717,0.158072832,21.512832
strujepa_subnet,w1_d0.5,temporal,1.0,0.5,0.22788573488593103,3.263596811890602,0.632291328,21.512832
strujepa_subnet,w1_d0.5,fre,1.0,0.5,0.23020185770094395,3.27263320684433,0.632291328,21.512832
strujepa_subnet,w0.5_d0.5,temporal,0.5,0.5,0.23147911382466554,3.3087316006422043,0.316145664,21.512832
strujepa_subnet,w0.5_d0.5,fre,0.5,0.5,0.23213884268328547,3.3160604000091554,0.316145664,21.512832
strujepa_subnet,w0.125_d0.5,temporal,0.125,0.5,0.2438187715411186,3.3162016034126283,0.079036416,21.512832
strujepa_subnet,w0.125_d0.5,fre,0.125,0.5,0.2445676116272807,3.2851692020893095,0.079036416,21.512832
strujepa_subnet,w1_d0.166667,temporal,1.0,0.166667,0.24144685031473634,3.019705185294151,0.210763776,21.512832
strujepa_subnet,w1_d0.166667,fre,1.0,0.166667,0.24121492474153639,3.0654936105012895,0.210763776,21.512832
strujepa_subnet,w0.5_d0.166667,temporal,0.5,0.166667,0.24462118598073718,3.0555711805820467,0.105381888,21.512832
strujepa_subnet,w0.5_d0.166667,fre,0.5,0.166667,0.24621289131790403,3.06435079574585,0.105381888,21.512832
strujepa_subnet,w0.125_d0.166667,temporal,0.125,0.166667,0.25634284603595736,3.0820959985256193,0.026345472,21.512832
strujepa_subnet,w0.125_d0.166667,fre,0.125,0.166667,0.2547189754396677,3.03009680211544,0.026345472,21.512832
